dept_cd	audit_user	audit_date	descs
008200	MGR	1/1/2014 00:00:00	BDI JAKARTA - LETJEN SUPRAPTO
019100	MGR	1/1/2014 00:00:00	BDI JAKARTA - MALL KALIBATA CITY
007100	MGR	1/1/2014 00:00:00	BDI JAKARTA - MANGGA 2 RAYA
005800	MGR	1/1/2014 00:00:00	BDI JAKARTA - MANGGA BESAR
007000	MGR	1/1/2014 00:00:00	BDI JAKARTA - MATRAMAN
008600	MGR	1/1/2014 00:00:00	BDI JAKARTA - MELAWAI
010400	MGR	1/1/2014 00:00:00	BDI JAKARTA - MENARA BANK DANAMON
009900	MGR	1/1/2014 00:00:00	BDI JAKARTA - MITRA SUNTER
005900	MGR	1/1/2014 00:00:00	BDI JAKARTA - MT.HARYONO
003300	MGR	1/1/2014 00:00:00	BDI JAKARTA - MUARA KARANG
017200	MGR	1/1/2014 00:00:00	BDI JAKARTA - MUTIARA TAMAN PALEM
014900	MGR	1/1/2014 00:00:00	BDI JAKARTA - ORION MANGGA DUA
001000	MGR	1/1/2014 00:00:00	BDI JAKARTA - P.JAYAKARTA
005200	MGR	1/1/2014 00:00:00	BDI JAKARTA - PALMERAH
000600	MGR	1/1/2014 00:00:00	BDI JAKARTA - PANGLIMA POLIM
016400	MGR	1/1/2014 00:00:00	BDI JAKARTA - PANTAI INDAH KAPUK 2
011400	MGR	1/1/2014 00:00:00	BDI JAKARTA - PASAR BARU
015500	MGR	1/1/2014 00:00:00	BDI JAKARTA - PASAR JATINEGARA
018400	MGR	1/1/2014 00:00:00	BDI JAKARTA - PASAR MAYESTIK
000700	MGR	1/1/2014 00:00:00	BDI JAKARTA - PECENONGAN
011100	MGR	1/1/2014 00:00:00	BDI JAKARTA - PEGAMBIRAN
003900	MGR	1/1/2014 00:00:00	BDI JAKARTA - PERMATA HIJAU
014000	MGR	1/1/2014 00:00:00	BDI JAKARTA - PERNIAGAAN TIMUR
016500	MGR	1/1/2014 00:00:00	BDI JAKARTA - PLUIT KARANG UTARA
004100	MGR	1/1/2014 00:00:00	BDI JAKARTA - PLUIT KENCANA
003800	MGR	1/1/2014 00:00:00	BDI JAKARTA - PONDOK BAMBU
004500	MGR	1/1/2014 00:00:00	BDI JAKARTA - PONDOK GEDE
001200	MGR	1/1/2014 00:00:00	BDI JAKARTA - PONDOK INDAH
008700	MGR	1/1/2014 00:00:00	BDI JAKARTA - PONDOK INDAH MALL
006100	MGR	1/1/2014 00:00:00	BDI JAKARTA - PRAPATAN
006800	MGR	1/1/2014 00:00:00	BDI JAKARTA - PS PADEMANGAN
